GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ServletSocialNetwork,by.company.beg.filter,SessionOnFilter,0,20,0,2,0,6,0,3,0,2
ServletSocialNetwork,by.company.beg.filter,AdminFilter,0,27,0,4,0,10,0,4,0,2
ServletSocialNetwork,by.company.beg.filter,EncodingFilter,0,24,0,2,0,8,0,4,0,3
ServletSocialNetwork,by.company.beg.filter,SessionOffFilter,0,20,0,2,0,6,0,3,0,2
ServletSocialNetwork,by.company.beg.servlet,AuthorizationServlet,67,0,6,0,17,0,6,0,3,0
ServletSocialNetwork,by.company.beg.servlet,AdminServlet,40,0,2,0,9,0,3,0,2,0
ServletSocialNetwork,by.company.beg.servlet,RegistrationServlet,105,0,12,0,28,0,9,0,3,0
ServletSocialNetwork,by.company.beg.servlet,ClearChatServlet,15,0,0,0,5,0,2,0,2,0
ServletSocialNetwork,by.company.beg.servlet,AccountServlet,2,114,1,1,1,23,1,3,0,3
ServletSocialNetwork,by.company.beg.servlet,UserAdminServlet,77,0,6,0,19,0,5,0,2,0
ServletSocialNetwork,by.company.beg.servlet,ChangeDataServlet,74,0,10,0,19,0,8,0,3,0
ServletSocialNetwork,by.company.beg.servlet,LogoutServlet,10,0,0,0,4,0,2,0,2,0
ServletSocialNetwork,by.company.beg.listener,Listener,3,175,0,0,3,28,3,2,3,2
ServletSocialNetwork,by.company.beg.entity,User,3,157,0,12,2,49,1,25,1,19
